time,state_mean_1,state_mean_2,state_variance_1,state_variance_2
238.0,-3044.835715094402,-13.755051752655389,4.72180770843431,4.72180770843431
239.0,-3059.41373749818,-14.083585772237097,4.72180770843431,4.72180770843431
240.0,-3070.7261448465565,-12.977317419499498,4.72180770843431,4.72180770843431
241.0,-3087.925229328711,-14.662668046449792,4.72180770843431,4.72180770843431
242.0,-3101.6406934455836,-14.284539477802847,4.72180770843431,4.72180770843431
243.0,-3112.385114197708,-12.871306292443638,4.72180770843431,4.72180770843431
244.0,-3125.811713763928,-13.09298215783635,4.72180770843431,4.72180770843431
245.0,-3137.5199173268347,-12.540171583847867,4.72180770843431,4.72180770843431
246.0,-3153.2178998954873,-13.800785597848948,4.72180770843431,4.72180770843431
247.0,-3165.626568469658,-13.24504548622651,4.72180770843431,4.72180770843431
248.0,-3183.481241199886,-15.085231846674155,4.72180770843431,4.72180770843431
249.0,-3196.4411055112664,-14.236774446029552,4.72180770843431,4.72180770843431
250.0,-3209.841253795364,-13.902789077910263,4.72180770843431,4.72180770843431
251.0,-3220.0373431694643,-12.423055928965777,4.72180770843431,4.72180770843431
252.0,-3231.389701646317,-11.995628125533692,4.72180770843431,4.72180770843431
253.0,-3240.7334378880746,-10.9369795590457,4.72180770843431,4.72180770843431
254.0,-3250.8034752010285,-10.590891857783124,4.72180770843431,4.72180770843431
255.0,-3263.0161512059312,-11.238316239223913,4.72180770843431,4.72180770843431
256.0,-3273.001912765128,-10.73829011652593,4.72180770843431,4.72180770843431
257.0,-3285.7756283386766,-11.550842187540988,4.72180770843431,4.72180770843431
258.0,-3295.6179391549385,-10.868787878287135,4.72180770843431,4.72180770843431
259.0,-3307.8429146880085,-11.410184805291673,4.72180770843431,4.72180770843431
260.0,-3320.2097743983945,-11.792094234959434,4.72180770843431,4.72180770843431
261.0,-3330.758447252535,-11.29571417120274,4.72180770843431,4.72180770843431
262.0,-3340.8824973509536,-10.82797998541374,4.72180770843431,4.72180770843431
263.0,-3356.525251370144,-12.750061975258626,4.72180770843431,4.72180770843431
264.0,-3367.8156214919727,-12.167345652017088,4.72180770843431,4.72180770843431
265.0,-3380.2839604051287,-12.287503674437533,4.72180770843431,4.72180770843431
266.0,-3390.423753223905,-11.430126708020941,4.72180770843431,4.72180770843431
267.0,-3401.3201917347583,-11.217075697781967,4.72180770843431,4.72180770843431
268.0,-3410.1064599258802,-10.246685125648193,4.72180770843431,4.72180770843431
269.0,-3420.9474435316934,-10.483932065443033,4.72180770843431,4.72180770843431
270.0,-3430.141441087351,-9.968983726861604,4.72180770843431,4.72180770843431
271.0,-3446.2565629497217,-12.422552956588197,4.72180770843431,4.72180770843431
272.0,-3460.5372966655805,-13.16434805355737,4.72180770843431,4.72180770843431
273.0,-3473.16381269893,-12.949642808336973,4.72180770843431,4.72180770843431
274.0,-3489.4391009117594,-14.277257166091408,4.72180770843431,4.72180770843431
275.0,-3506.292130188694,-15.305518336702125,4.72180770843431,4.72180770843431
276.0,-3525.472272500757,-16.852287698715124,4.72180770843431,4.72180770843431
277.0,-3539.594973230814,-15.762622863903186,4.72180770843431,4.72180770843431
278.0,-3553.779860334845,-15.132782820006904,4.72180770843431,4.72180770843431
279.0,-3576.3088203557572,-18.085373926429018,4.72180770843431,4.72180770843431
280.0,-3597.6540180907573,-19.386711972320096,4.72180770843431,4.72180770843431
281.0,-3617.8466494453305,-19.708439039681746,4.72180770843431,4.72180770843431
282.0,-3637.4138269397536,-19.652046720936397,4.72180770843431,4.72180770843431
283.0,-3653.430363490088,-18.20073279139544,4.72180770843431,4.72180770843431
284.0,-3669.845401400487,-17.487874421294777,4.72180770843431,4.72180770843431
285.0,-3688.3552491966716,-17.895851328247524,4.72180770843431,4.72180770843431
286.0,-3705.91985121862,-17.763614940554273,4.72180770843431,4.72180770843431
287.0,-3723.4624346318615,-17.675378044106868,4.72180770843431,4.72180770843431
288.0,-3742.451390524875,-18.199764922479734,4.72180770843431,4.72180770843431
289.0,-3757.7792490392394,-17.05328545224215,4.72180770843431,4.72180770843431
290.0,-3772.737329181002,-16.21686896331701,4.72180770843431,4.72180770843431
291.0,-3793.932432355561,-18.204205077438118,4.72180770843431,4.72180770843431
292.0,-3809.3842618396598,-17.1054429091341,4.72180770843431,4.72180770843431
293.0,-3827.0659082845154,-17.335466256175085,4.72180770843431,4.72180770843431
294.0,-3845.9885494309983,-17.969074448375544,4.72180770843431,4.72180770843431
295.0,-3865.475057868303,-18.574841722278407,4.72180770843431,4.72180770843431
296.0,-3883.9487969818065,-18.534481052787147,4.72180770843431,4.72180770843431
297.0,-3900.3223488571543,-17.67182726589102,4.72180770843431,4.72180770843431
298.0,-3921.383868179111,-19.025009368805417,4.72180770843431,4.72180770843431
299.0,-3942.0669884138047,-19.686935558930262,4.72180770843431,4.72180770843431
300.0,-3962.143721083396,-19.84254452434374,4.72180770843431,4.72180770843431
301.0,-3981.9181506935447,-19.815352708300814,4.72180770843431,4.72180770843431
